programId,programName,Startdatetime,Enddatetime,venue,trainee,trainers,status
660ed889d1b3e162abf04cc6,Advanced Machine Learning,2024-04-02T00:00:00.000000+00:00,2024-04-09T00:00:00.000000+00:00,Den,660feb0a6f3688dd93b44325,['660feb0a6f3688dd93b44388'],completed
6612820b9ee42a92ec2a0f05,Continuous integration/continuous deployment (CI/CD),2024-04-07T00:00:00.000000+00:00,2024-04-10T00:00:00.000000+00:00,Nook,660feb0a6f3688dd93b44339,['660feb0a6f3688dd93b44388'],pending
6612820b9ee42a92ec2a0f30,Data governance,2024-04-03T00:00:00.000000+00:00,2024-04-07T00:00:00.000000+00:00,Sanctuary,660feb0a6f3688dd93b44325,['660feb0a6f3688dd93b44355'],pending
660ed895d1b3e162abf04cca,UI/UX Design Essentials,2024-04-03T00:00:00.000000+00:00,2024-04-07T00:00:00.000000+00:00,Nook,660feb0a6f3688dd93b44341,['660feb0a6f3688dd93b44380'],completed
6612820b9ee42a92ec2a0f2a,"ETL (Extract, Transform, Load) processes",2024-04-07T00:00:00.000000+00:00,2024-04-10T00:00:00.000000+00:00,Sanctuary,660feb0a6f3688dd93b44337,['660feb0a6f3688dd93b44333'],completed
6612820b9ee42a92ec2a0f20,"Server-side programming languages (e.g., Node.js, Django, Flask)",2024-04-01T00:00:00.000000+00:00,2024-04-08T00:00:00.000000+00:00,Cozy Cove,660feb0a6f3688dd93b44348,['660feb0a6f3688dd93b44312'],pending
6612820b9ee42a92ec2a0f37,Natural language processing (NLP),2024-04-06T00:00:00.000000+00:00,2024-04-06T00:00:00.000000+00:00,Retreat,660feb0a6f3688dd93b4434f,['660feb0a6f3688dd93b443c3'],completed
6612820b9ee42a92ec2a0f4c,Hyperparameter tuning,2024-04-02T00:00:00.000000+00:00,2024-04-09T00:00:00.000000+00:00,Oasis,660feb0a6f3688dd93b4430c,['660feb0a6f3688dd93b4433e'],completed
6612820b9ee42a92ec2a0f08,Refactoring techniques,2024-04-02T00:00:00.000000+00:00,2024-04-02T00:00:00.000000+00:00,Den,660feb0a6f3688dd93b44325,['660feb0a6f3688dd93b44380'],completed
6612820b9ee42a92ec2a0f2d,Real-time data processing,2024-04-07T00:00:00.000000+00:00,2024-04-09T00:00:00.000000+00:00,Cozy Cove,660feb0a6f3688dd93b4434c,['660feb0a6f3688dd93b44355'],completed
660ed889d1b3e162abf04cc6,Advanced Machine Learning,2024-04-05T00:00:00.000000+00:00,2024-04-07T00:00:00.000000+00:00,Tardis,660feb0a6f3688dd93b4435a,['660feb0a6f3688dd93b4433e'],pending
6612820b9ee42a92ec2a0f3e,Continuous testing,2024-04-04T00:00:00.000000+00:00,2024-04-06T00:00:00.000000+00:00,Tardis,660feb0a6f3688dd93b4430e,['660feb0a6f3688dd93b4432c'],completed
6612820b9ee42a92ec2a0f01,Object-oriented programming (OOP),2024-04-08T00:00:00.000000+00:00,2024-04-11T00:00:00.000000+00:00,Nook,660feb0a6f3688dd93b44345,['660feb0a6f3688dd93b44355'],completed
6612820b9ee42a92ec2a0f2b,Data warehouses,2024-04-04T00:00:00.000000+00:00,2024-04-08T00:00:00.000000+00:00,Den,660feb0a6f3688dd93b44345,['660feb0a6f3688dd93b44312'],pending
660ed889d1b3e162abf04cc6,Advanced Machine Learning,2024-04-07T00:00:00.000000+00:00,2024-04-09T00:00:00.000000+00:00,Sanctuary,660feb0a6f3688dd93b4430c,['660feb0a6f3688dd93b44333'],completed
6612820b9ee42a92ec2a0f3f,Robotic process automation (RPA),2024-04-08T00:00:00.000000+00:00,2024-04-11T00:00:00.000000+00:00,Retreat,660feb0a6f3688dd93b4430e,['660feb0a6f3688dd93b443c3'],completed
660ed895d1b3e162abf04cca,UI/UX Design Essentials,2024-04-05T00:00:00.000000+00:00,2024-04-08T00:00:00.000000+00:00,Retreat,660feb0a6f3688dd93b44330,['660feb0a6f3688dd93b44388'],pending
6612820b9ee42a92ec2a0f23,Authentication and authorization,2024-04-04T00:00:00.000000+00:00,2024-04-08T00:00:00.000000+00:00,Sanctuary,660feb0a6f3688dd93b4434c,['660feb0a6f3688dd93b44380'],completed
6612820b9ee42a92ec2a0f3e,Continuous testing,2024-04-06T00:00:00.000000+00:00,2024-04-09T00:00:00.000000+00:00,Oasis,660feb0a6f3688dd93b44339,['660feb0a6f3688dd93b44388'],completed
6612820b9ee42a92ec2a0f41,Infrastructure automation,2024-04-04T00:00:00.000000+00:00,2024-04-05T00:00:00.000000+00:00,Retreat,660feb0a6f3688dd93b44339,['660feb0a6f3688dd93b44333'],completed
